Node	feature
B_Acetobacter	genus
F_Rinodina	genus
F_Thysanothecium	genus
F_Pichia	genus
F_Guyanagaster	genus
F_Rigidoporus	genus
F_Funneliglomus	genus
B_Synechocystis	genus
F_Kirschsteiniothelia	genus
F_Amanita	genus
B_Solimonas	genus
F_Kluyveromyces	genus
F_Gigaspora	genus
F_Furculomyces	genus
F_Pleuroascus	genus
B_Aliivibrio	genus
B_Candidatus Hodgkinia	genus
F_Lecanora	genus
F_Uncinocarpus	genus
F_Telasphaerula	genus
B_Microbacterium	genus
B_Actinosynnema	genus
F_Exserohilum	genus
F_Komagataella	genus
F_Pilobolus	genus
B_Tabrizicola	genus
B_Asticcacaulis	genus
F_Coprinellus	genus
F_Funneliformis	genus
F_Phomopsis	genus
F_Smittium	genus
F_Basidioascus	genus
B_Bifidobacterium	genus
B_Shewanella	genus
F_Yamadamyces	genus
B_Spiroplasma	genus
B_Martelella	genus
B_Nitratireductor	genus
F_Laetisaria	genus
B_Planococcus	genus
F_Debaryomyces	genus
F_Hirsutella	genus
F_Trichophyton	genus
F_Beauveria	genus
F_Armillaria	genus
F_Placopyrenium	genus
F_Bertia	genus
F_Craterellus	genus
B_Pigmentiphaga	genus
B_Morganella	genus
F_Gloeandromyces	genus
B_Hydrogenobaculum	genus
B_Beutenbergia	genus
F_Arthonia	genus
B_Aeromicrobium	genus
F_Epicoccum	genus
F_Pleopsidium	genus
F_Lodderomyces	genus
F_Buckleyzyma	genus
B_Desulfovibrio	genus
B_Phycicoccus	genus
F_Mucor	genus
B_Proteus	genus
B_Acidobacterium	genus
B_Rhodovulum	genus
F_Entoloma	genus
F_Phlebiopsis	genus
F_Gyalecta	genus
B_Ornithinimicrobium	genus
F_Botrytis	genus
F_Pleurostoma	genus
B_Geobacter	genus
F_Phyllobathelium	genus
F_Groenewaldozyma	genus
F_Oxyporus	genus
F_Umbelopsis	genus
F_Hanseniaspora	genus
B_Chlorobaculum	genus
F_Phaeosphaeria	genus
F_Usnea	genus
F_Podosphaera	genus
B_Agrobacterium	genus
F_Harpella	genus
B_Mitsuaria	genus
B_Rhodopseudomonas	genus
F_Tretomyces	genus
B_Dyadobacter	genus
F_Strongwellsea	genus
F_Melanotaenium	genus
B_Candidatus Tremblaya	genus
B_Zymomonas	genus
F_Rhexocercosporidium	genus
F_Gymnosporangium	genus
F_Amblyospora	genus
B_Thiococcus	genus
F_Serendipita	genus
B_Caulobacter	genus
F_Boothiomyces	genus
F_Kuzuhaea	genus
F_Grosmannia	genus
F_Fonsecaea	genus
F_Pneumocystis	genus
F_Nowakowskiella	genus
B_Ilumatobacter	genus
B_Rhodobacter	genus
F_Acrodontium	genus
F_Eremothecium	genus
B_Flavobacterium	genus
B_Desulfobacterium	genus
F_Byssochlamys	genus
F_Pertusaria	genus
A_Thermococcus	genus
F_Physconia	genus
F_Hypocrella	genus
F_Phaeopyxis	genus
B_Marmoricola	genus
F_Hodophilus	genus
F_Lobosporangium	genus
B_Candidatus Sulcia	genus
B_Bradyrhizobium	genus
F_Histoplasma	genus
B_Cupriavidus	genus
F_Mucomycosphaerella	genus
F_Sarcodon	genus
F_Cercospora	genus
F_Leptosphaeria	genus
F_Periconia	genus
F_Chlorociboria	genus
F_Yarrowia	genus
F_Clavispora	genus
F_Metschnikowia	genus
F_Kazachstania	genus
F_Polycephalomyces	genus
F_Lepiota	genus
F_Sistotrema	genus
F_Tremella	genus
F_Scutellospora	genus
F_Halteromyces	genus
F_Conidiocarpus	genus
F_Varicosporium	genus
F_Xylodon	genus
B_Microcystis	genus
F_Natipusilla	genus
B_Geobacillus	genus
F_Claroideoglomus	genus
F_Erysiphe	genus
F_Superstratomyces	genus
F_Parathielavia	genus
F_Parmotrema	genus
F_Flavoparmelia	genus
F_Byssoloma	genus
F_Loxospora	genus
F_Ochrolechia	genus
F_Saitoella	genus
F_Microcalicium	genus
F_Hypomyces	genus
F_Laboulbenia	genus
F_Phyllopsora	genus
F_Rhizophydium	genus
F_Rhizopus	genus
F_Phruensis	genus
B_Candidatus Planktophila	genus
F_Cocoicola	genus
F_Austroboletus	genus
B_Klebsiella	genus
F_Umbilicaria	genus
F_Pleurocollybia	genus
F_Tolypocladium	genus
F_Leucogyrophana	genus
F_Volvariella	genus
F_Evernia	genus
B_Hyphomonas	genus
B_Bdellovibrio	genus
F_Exophiala	genus
B_Carnobacterium	genus
F_Clonostachys	genus
F_Pseudogymnoascus	genus
F_Tortispora	genus
F_Moesziomyces	genus
F_Bensingtonia	genus
B_Kordiimonas	genus
F_Naumovozyma	genus
F_Monodictys	genus
F_Deakozyma	genus
F_Hamamotoa	genus
F_Tubulicrinis	genus
