Node	feature
B_Carnobacterium	genus
F_Podosphaera	genus
F_Gyalecta	genus
F_Coniochaeta	genus
F_Elaphomyces	genus
F_Myriolecis	genus
F_Tulasnella	genus
F_Cystofilobasidium	genus
F_Lichtheimia	genus
F_Hyaloscypha	genus
F_Halteromyces	genus
F_Guyanagaster	genus
F_Hypogymnia	genus
F_Ochroconis	genus
F_Drechslera	genus
B_Plectonema	genus
F_Kalmanozyma	genus
B_Cronobacter	genus
F_Scopuloides	genus
F_Cystobasidium	genus
B_Thauera	genus
F_Graphium	genus
B_Klebsiella	genus
F_Vavraia	genus
B_Calenema	genus
B_Chlorobaculum	genus
F_Tremella	genus
B_Pleurocapsa	genus
F_Geranomyces	genus
B_Dickeya	genus
B_Caldithrix	genus
F_Amphiamblys	genus
F_Auricularia	genus
B_Empedobacter	genus
B_Ramlibacter	genus
F_Exserohilum	genus
F_Arthrobotrys	genus
F_Phlyctis	genus
F_Pezicula	genus
F_Blastobotrys	genus
B_Microvirga	genus
F_Parathielavia	genus
F_Parafuscosporella	genus
F_Sclerotium	genus
F_Tropicoporus	genus
F_Magnusiomyces	genus
B_Halobacteriovorax	genus
F_Antennariella	genus
F_Porpidia	genus
F_Proliferophorum	genus
F_Suhomyces	genus
F_Pleopsidium	genus
F_Byssochlamys	genus
F_Rasamsonia	genus
F_Bannozyma	genus
F_Mycotypha	genus
F_Leucosporidium	genus
B_Actinosynnema	genus
F_Volvariella	genus
F_Trichosporon	genus
B_Aeribacillus	genus
F_Didymella	genus
B_Hoeflea	genus
F_Arenariomyces	genus
F_Coelomomyces	genus
F_Acaulospora	genus
F_Loxospora	genus
F_Saitoella	genus
F_Alternaria	genus
F_Kuraishia	genus
F_Hyaloraphidium	genus
B_Pseudarcicella	genus
F_Microsporidium	genus
F_Cercospora	genus
F_Anthracobia	genus
F_Yarrowia	genus
F_Pluteus	genus
F_Synchytrium	genus
F_Phoma	genus
F_Hypoxylon	genus
F_Conidiocarpus	genus
B_Xylanibacterium	genus
F_Wickerhamiella	genus
F_Sclerotinia	genus
F_Vararia	genus
F_Elsinoe	genus
F_Psiloglonium	genus
B_Amycolatopsis	genus
F_Cladosporium	genus
F_Oberwinklerozyma	genus
F_Conidiobolus	genus
F_Wickerhamomyces	genus
F_Purpureocillium	genus
F_Rhizopogon	genus
F_Batrachochytrium	genus
B_Clostridium	genus
F_Kalmusia	genus
F_Saitozyma	genus
F_Pochonia	genus
F_Usnea	genus
F_Simonyella	genus
F_Cyberlindnera	genus
F_Spilonema	genus
F_Diutina	genus
F_Pleurocollybia	genus
F_Saxomyces	genus
F_Metarhizium	genus
F_Microcyclospora	genus
F_Lecanora	genus
F_Anthracoidea	genus
F_Kwoniella	genus
F_Austrosmittium	genus
B_Gardnerella	genus
B_Sulfitobacter	genus
F_Lodderomyces	genus
F_Gymnoascus	genus
F_Heterobasidion	genus
F_Ascotricha	genus
F_Groenewaldozyma	genus
B_Methylovorus	genus
F_Pseudocercospora	genus
F_Cyphellophora	genus
B_Brevibacterium	genus
F_Schizophyllum	genus
B_Marivivens	genus
B_Snodgrassella	genus
F_Coccodiella	genus
F_Rhizophagus	genus
F_Pileolaria	genus
F_Kluyveromyces	genus
F_Cornuvesica	genus
B_Candidatus Cyclonatronum	genus
F_Brevistachys	genus
F_Brettanomyces	genus
F_Phaffomyces	genus
A_Methanosarcina	genus
F_Paraglomus	genus
F_Sugiyamaella	genus
F_Hamiltosporidium	genus
F_Lipomyces	genus
F_Malassezia	genus
F_Debaryomyces	genus
B_Nocardioides	genus
B_Jeotgalibaca	genus
F_Leucocortinarius	genus
F_Ustilago	genus
B_Aliivibrio	genus
F_Emmonsia	genus
F_Torpedospora	genus
F_Phragmotaenium	genus
F_Furia	genus
F_Phlyctochytrium	genus
B_Humibacter	genus
F_Clavulina	genus
F_Capnobotryella	genus
F_Graphis	genus
F_Coprinellus	genus
F_Varicosporium	genus
B_Polynucleobacter	genus
B_Brucella	genus
F_Ochrolechia	genus
F_Nephroma	genus
F_Polystigma	genus
F_Eutypa	genus
F_Gomphillus	genus
F_Cordyceps	genus
F_Paracoccidioides	genus
F_Rickia	genus
F_Spathaspora	genus
B_Acidithiobacillus	genus
F_Bourdotia	genus
B_Massilia	genus
F_Cyptotrama	genus
F_Massaria	genus
B_Rhizobium	genus
F_Geastrum	genus
B_Rhodoferax	genus
F_Dacrymyces	genus
B_Turicibacter	genus
F_Stereum	genus
F_Xylaria	genus
F_Orbilia	genus
F_Mucor	genus
F_Gloeandromyces	genus
F_Craterellus	genus
F_Scedosporium	genus
F_Linocarpon	genus
F_Bertia	genus
F_Marasmius	genus
F_Fibroporia	genus
F_Pseudomerulius	genus
F_Colletotrichum	genus
F_Cocoicola	genus
B_Shigella	genus
B_Entomoplasma	genus
F_Thermomyces	genus
F_Physconia	genus
F_Collemopsidium	genus
F_Funneliglomus	genus
F_Asellaria	genus
B_Enterobacter	genus
