id,feature
F_Conidiocarpus,fungi
F_Conidiobolus,fungi
F_Colletotrichum,fungi
F_Collemopsidium,fungi
F_Collema,fungi
F_Coemansia,fungi
F_Coelomomyces,fungi
F_Cocoicola,fungi
F_Coccodiella,fungi
F_Coccocarpia,fungi
F_Clonostachys,fungi
F_Clavulina,fungi
F_Clavispora,fungi
F_Claroideoglomus,fungi
F_Cladosporium,fungi
F_Cladophialophora,fungi
F_Cladochytrium,fungi
F_Circinella,fungi
F_Cintractia,fungi
F_Chlorociboria,fungi
F_Chionosphaera,fungi
F_Cerrena,fungi
F_Cercospora,fungi
F_Ceraceomyces,fungi
F_Capronia,fungi
F_Capnobotryella,fungi
F_Capniomyces,fungi
F_Candida,fungi
F_Calicium,fungi
F_Cadophora,fungi
F_Byssochlamys,fungi
F_Bullera,fungi
F_Buellia,fungi
F_Brevistachys,fungi
F_Brettanomyces,fungi
F_Bourdotia,fungi
F_Botrytis,fungi
F_Botryobasidium,fungi
F_Boothiomyces,fungi
F_Boletus,fungi
F_Blastobotrys,fungi
F_Blackwellomyces,fungi
F_Bjerkandera,fungi
F_Bipolaris,fungi
F_Bertia,fungi
F_Baudoinia,fungi
F_Batrachochytrium,fungi
F_Bannozyma,fungi
F_Backusella,fungi
F_Bacidia,fungi
F_Austrosmittium,fungi
F_Auricularia,fungi
F_Aureobasidium,fungi
F_Aspergillus,fungi
F_Asellaria,fungi
F_Ascotricha,fungi
F_Ascodesmis,fungi
F_Ascitendus,fungi
F_Articulospora,fungi
F_Arthrobotrys,fungi
F_Arthonia,fungi
F_Armillaria,fungi
F_Arenariomyces,fungi
F_Archaeospora,fungi
F_Appendiculella,fungi
F_Apiotrichum,fungi
F_Anthracoidea,fungi
F_Anthracobia,fungi
F_Antennariella,fungi
F_Amphiamblys,fungi
F_Amorphotheca,fungi
F_Amniculicola,fungi
F_Ambrosiella,fungi
F_Amanita,fungi
F_Alternaria,fungi
F_Agaricus,fungi
F_Acaulospora,fungi
F_Acanthothecis,fungi
