source,target,cor,P/N
F_Anthracocystis,B_Riemerella,0.335865776,P
F_Rectipilus,B_Leptolyngbya,0.326260181,P
B_Candidatus Saccharimonas,B_Elizabethkingia,0.399822109,P
B_Selenomonas,B_Elizabethkingia,0.324250583,P
B_Tsukamurella,B_Elizabethkingia,0.425484687,P
B_Photobacterium,B_Elizabethkingia,0.428472742,P
B_Candidatus Nanopelagicus,B_Elizabethkingia,0.328449165,P
B_Megasphaera,B_Elizabethkingia,0.350427627,P
F_Pezicula,B_Elizabethkingia,0.326296961,P
F_Coleosporium,B_Elizabethkingia,0.322221106,P
B_Olsenella,B_Cloacibacterium,0.368479231,P
B_Labilithrix,B_Cloacibacterium,0.337738549,P
F_Diploospora,B_Cloacibacterium,0.427643838,P
F_Phialemoniopsis,B_Cloacibacterium,0.351387826,P
B_Novosphingobium,B_Sphingosinicella,0.333629768,P
B_Lysinibacillus,B_Sphingosinicella,0.336050421,P
F_Kodamaea,B_Sphingosinicella,0.414049078,N
B_Bacteroides,B_Faecalibacterium,0.509364749,P
B_Anaerobutyricum,B_Faecalibacterium,0.491354058,P
B_Roseburia,B_Faecalibacterium,0.644469594,P
B_Nocardia,B_Faecalibacterium,0.32740772,P
B_Blautia,B_Faecalibacterium,0.543369933,P
B_Eubacterium,B_Faecalibacterium,0.448866662,P
B_Alistipes,B_Faecalibacterium,0.419427326,P
B_Anaerostipes,B_Faecalibacterium,0.627155126,P
B_Ruminococcus,B_Faecalibacterium,0.41562065,P
B_Lachnoclostridium,B_Faecalibacterium,0.427994657,P
B_Sorangium,B_Faecalibacterium,0.350867168,P
B_Coprococcus,B_Faecalibacterium,0.571202516,P
B_Butyrivibrio,B_Faecalibacterium,0.395420635,P
B_Megamonas,B_Faecalibacterium,0.630586364,P
B_Luteibacter,B_Faecalibacterium,0.336864556,P
B_Dialister,B_Faecalibacterium,0.340851883,P
B_Flintibacter,B_Faecalibacterium,0.48758752,P
B_Parabacteroides,B_Faecalibacterium,0.6741092,P
B_Sutterella,B_Faecalibacterium,0.339906502,P
B_Anaerotignum,B_Faecalibacterium,0.683751223,P
B_Hungatella,B_Faecalibacterium,0.428237616,P
B_Romboutsia,B_Faecalibacterium,0.683612489,P
B_Faecalitalea,B_Faecalibacterium,0.496878069,P
B_Tyzzerella,B_Faecalibacterium,0.472116923,P
B_Collinsella,B_Faecalibacterium,0.355395266,P
B_Ruthenibacterium,B_Faecalibacterium,0.574099225,P
F_Pseudocercospora,B_Faecalibacterium,0.326726521,P
